gene,rank
FTL,1
FTH1,2
TIMP1,3
GNLY,4
C15orf48,5
CCL2,6
CCL5,7
IGKC,8
MALAT1,9
HLA-DRA,10
GZMB,11
IGHM,12
CD74,13
LYZ,14
NKG7,15
TYROBP,16
TMSB4X,17
FCER1G,18
CCL3,19
SOD2,20
LGALS3,21
CCL4,22
HLA-DRB1,23
SAT1,24
ISG15,25
LGALS1,26
CXCL8,27
S100A8,28
CD63,29
S100A4,30
HLA-DPB1,31
CST3,32
CCL7,33
S100A9,34
TXN,35
HLA-DPA1,36
FCGR3A,37
CTSL,38
ANXA5,39
VMO1,40
S100A11,41
CCR7,42
IGLC2,43
TYMP,44
TRBC1,45
HSPB1,46
S100A10,47
NFKBIA,48
MS4A7,49
B2M,50
CTSB,51
CSTB,52
HSPA1A,53
ANXA2,54
GZMH,55
APOBEC3A,56
ACTB,57
CXCL10,58
CXCL3,59
TRAC,60
CST7,61
LTB,62
IFI27,63
HLA-DQA1,64
FGFBP2,65
CD79A,66
ANXA1,67
CLIC3,68
PPBP,69
TRBC2,70
PABPC1,71
CCL4L2,72
GIMAP7,73
CXCR4,74
IFITM3,75
BIRC3,76
ALOX5AP,77
S100A6,78
RPL3,79
DUSP2,80
MARCKSL1,81
PSAP,82
GZMA,83
APOBEC3G,84
CD83,85
DDIT4,86
HSP90AB1,87
CREM,88
SELL,89
KLRD1,90
JUNB,91
PRF1,92
GADD45B,93
GPR183,94
EMP3,95
NPC2,96
CD69,97
CTSC,98
CD14,99
FABP5,100
RGCC,101
IDO1,102
HSPA8,103
BTG1,104
PLA2G7,105
CACYBP,106
HERPUD1,107
CCL3L1,108
MYC,109
GAPDH,110
ID2,111
CD7,112
RPS18,113
HSP90AA1,114
UBC,115
ID3,116
SDCBP,117
HSPA5,118
PLAC8,119
SRSF7,120
VIM,121
RPS6,122
CD3D,123
FCN1,124
RPL13,125
HLA-DQB1,126
IGSF6,127
NPM1,128
RGS1,129
TNFSF10,130
IL32,131
UBB,132
RGS2,133
IGLC3,134
GSTO1,135
CD2,136
RARRES3,137
KYNU,138
PLAUR,139
ZFP36L2,140
SRGN,141
ADA,142
LDHB,143
RPL10,144
CD52,145
CLIC1,146
SRSF2,147
ITM2A,148
HSPE1,149
CTSW,150
ATP6V1F,151
OASL,152
RPS26,153
RPS2,154
ACTG1,155
GBP1,156
CXCL16,157
RPL21,158
CYBA,159
CLEC2D,160
HSPD1,161
SARAF,162
RPS4X,163
LDHA,164
NINJ1,165
HIST1H2AC,166
TIGIT,167
DNAJB6,168
MIR155HG,169
TSC22D3,170
RPL10A,171
AIF1,172
CD8B,173
SOD1,174
SH3BGRL3,175
CALHM6,176
RPL5,177
HSPH1,178
MS4A1,179
MAFB,180
RPL13A,181
GLUL,182
TRAT1,183
RPSA,184
IL7R,185
DYNLL1,186
PMAIP1,187
PTMA,188
GZMK,189
TRGC2,190
FGL2,191
C3AR1,192
RAC1,193
CXCL2,194
JUN,195
HBB,196
ZFP36,197
ARHGDIB,198
RPLP0,199
NCF1,200
LMNA,201
CTSD,202
IER2,203
GPX4,204
EEF1B2,205
EIF4A2,206
CARD16,207
CHST12,208
RPL39,209
SERPINB1,210
YPEL5,211
GIMAP4,212
CTSS,213
CD8A,214
RPS5,215
RPL7,216
CLEC2B,217
CYP1B1,218
CALM1,219
LST1,220
TNFAIP6,221
ISG20,222
PFN1,223
CYTIP,224
OCIAD2,225
H2AFZ,226
RPS14,227
DNAJB1,228
CD68,229
CFP,230
RPS3,231
DUSP1,232
RHOH,233
LEPROTL1,234
RPL4,235
SPI1,236
ZFAS1,237
KLF6,238
SRSF3,239
GTF3A,240
DNAJA1,241
ENO1,242
RPL32,243
CEBPB,244
SERPINB2,245
IFITM2,246
H3F3B,247
PKM,248
STK17A,249
PNRC1,250
HMGB1,251
GNG11,252
CFD,253
PIK3IP1,254
LIMD2,255
PLEK,256
PTPRC,257
SEPT7,258
YBX1,259
RPL34,260
LAPTM5,261
EIF5,262
TALDO1,263
HINT1,264
EEF1A1,265
TXNIP,266
DUSP4,267
CXCR3,268
HMOX1,269
RSRC2,270
RAN,271
NOP53,272
HNRNPA1,273
GLRX,274
TNFRSF18,275
EVL,276
TNFRSF4,277
RPS3A,278
SOCS1,279
PRDX1,280
KLRC1,281
CORO1A,282
SEC61B,283
C6orf48,284
RPS19,285
COTL1,286
CD37,287
RPS8,288
CD247,289
RPL7A,290
EEF2,291
EIF1,292
FYN,293
CNBP,294
HMGN1,295
HMGB2,296
EZR,297
HSPA1B,298
ATP6V0B,299
SPOCK2,300
PASK,301
LCK,302
PF4,303
IRF1,304
SLC3A2,305
OAZ1,306
PDCD4,307
IL2RG,308
CALM2,309
EIF3E,310
CD48,311
NR3C1,312
LAT,313
RPL31,314
RPS15A,315
SOCS3,316
NSMCE3,317
SH2D2A,318
RPS27A,319
BID,320
TNFSF13B,321
SQSTM1,322
MRPL18,323
RPL36,324
TRDC,325
RPS29,326
HNRNPDL,327
RSRP1,328
HLA-DRB5,329
SAMSN1,330
ERP29,331
CD3E,332
MT-CYB,333
HOPX,334
FAM177A1,335
PSME2,336
TAGLN2,337
XBP1,338
RPS12,339
CAPG,340
KLF2,341
NEAT1,342
MYL12A,343
MT2A,344
LEF1,345
LIMS1,346
GSTP1,347
APMAP,348
HMGN2,349
SNHG8,350
GCHFR,351
GBP2,352
CD3G,353
HNRNPA3,354
LBH,355
MT-ND2,356
RPL22,357
DYNLT1,358
RBM39,359
RPS27,360
FXYD5,361
RPL18A,362
IFIT3,363
PARK7,364
HPSE,365
TMSB10,366
MYL6,367
ARPC1B,368
BST2,369
PIM1,370
TCP1,371
ATP1B3,372
NOP58,373
HLA-B,374
RSAD2,375
AES,376
RPL14,377
H3F3A,378
ITM2C,379
HNRNPA2B1,380
ZFP36L1,381
IRF8,382
RSL24D1,383
CD55,384
MAGED2,385
CYCS,386
SERBP1,387
WTAP,388
RPL35,389
SNRPD2,390
LY6E,391
ZNF331,392
CCT4,393
RSL1D1,394
PDIA3,395
RGS10,396
ISCU,397
PPP2R5C,398
ANAPC16,399
CD44,400
RPL9,401
ANKRD12,402
IFIT1,403
TMEM123,404
KMT2E,405
EIF3F,406
RPS25,407
CCNL1,408
HLA-DMA,409
LITAF,410
PLSCR1,411
INSIG1,412
CLEC4E,413
NDUFS5,414
ZFAND2A,415
C12orf75,416
S1PR4,417
SLC25A5,418
SLC25A6,419
DDX5,420
RBM8A,421
RPL18,422
PLP2,423
DDX24,424
C1orf21,425
NAP1L1,426
EIF5A,427
RPL36A,428
GIMAP1,429
RPL11,430
CD53,431
JAK1,432
IRF7,433
SELENOK,434
VAMP2,435
PPA1,436
ARID5B,437
RPL23,438
RPS17,439
C1QBP,440
CLK1,441
AC026979.2,442
UBE2B,443
SUB1,444
NDUFV2,445
PGK1,446
ITM2B,447
LSP1,448
NR4A2,449
RALA,450
RPS10,451
SBDS,452
G0S2,453
SNU13,454
RPS20,455
OAS1,456
ARID5A,457
EVI2A,458
RPL17,459
GPBP1,460
CD99,461
CD96,462
RPS23,463
ATP5MC2,464
ADTRP,465
SERP1,466
PEBP1,467
TGIF1,468
RWDD1,469
EIF3K,470
ARPC5,471
IFIT2,472
HNRNPC,473
CIB1,474
CLDND1,475
NDUFA12,476
H2AFV,477
VAMP8,478
WARS,479
IDI1,480
GMFG,481
TCL1A,482
TAF7,483
CUTA,484
CIRBP,485
TUBA4A,486
CASP1,487
TPI1,488
SDF2L1,489
APRT,490
HNRNPA0,491
PAPOLA,492
SPCS1,493
EEF1D,494
UPP1,495
IL1B,496
TMEM243,497
COMMD6,498
RPL12,499
PPIF,500
PDIA6,501
SYNE2,502
CAVIN2,503
PSME1,504
DOK2,505
EIF3H,506
RPL37A,507
SSB,508
LYSMD2,509
TNFAIP8,510
STMN1,511
VAMP5,512
FASLG,513
RACK1,514
CCNI,515
PSMA4,516
RPS7,517
ACP5,518
RABAC1,519
RPL37,520
RPL23A,521
PIM3,522
CITED2,523
BTF3,524
CMSS1,525
TUBA1B,526
PPIB,527
RPL24,528
AC004687.1,529
SLFN5,530
YWHAB,531
SKP1,532
MCL1,533
KLRB1,534
RPL27A,535
HLA-A,536
REL,537
KRT10,538
MT-ND5,539
PPP1R2,540
CASP4,541
NDUFB8,542
SNHG15,543
TPM4,544
RNASET2,545
NUDC,546
PILRA,547
SYNGR2,548
RPL19,549
TRMT112,550
HNRNPF,551
CHCHD2,552
PIK3R1,553
ERH,554
GRN,555
RORA,556
TRAF3IP3,557
SAP18,558
PPIA,559
DHRS7,560
PTGES3,561
RPS11,562
ANP32B,563
SON,564
PCBP1,565
PPDPF,566
IGHD,567
TSHZ2,568
RPS21,569
SEPT6,570
GBP5,571
HSP90B1,572
MANF,573
SSR2,574
RPL27,575
GPR171,576
SDS,577
PNISR,578
TMEM50A,579
PAIP2,580
ARL6IP5,581
SLC2A3,582
BAZ1A,583
C9orf78,584
UBE2D3,585
RPS16,586
SRSF5,587
LINC00623,588
ARPC2,589
CDC42SE2,590
RNPS1,591
SNX3,592
RAC2,593
ATP6V1G1,594
STAT3,595
JPT1,596
RAB5IF,597
ANXA2R,598
MT-ATP6,599
NCL,600
SYF2,601
TAP1,602
MCUB,603
TECR,604
RPL35A,605
NME1,606
SSR4,607
STXBP2,608
C11orf58,609
GCC2,610
GNAS,611
RANBP1,612
COX5A,613
SUMO1,614
TMA7,615
UBE2L6,616
