"rank","gene"
1,"FTL"
2,"IGKC"
3,"CCL2"
4,"GNLY"
5,"IGLC2"
6,"CCL3"
7,"CXCL10"
8,"CCL4"
9,"TIMP1"
10,"CCL7"
11,"PPBP"
12,"CCL4L2"
13,"IGHM"
14,"HBB"
15,"CCL5"
16,"VMO1"
17,"GZMB"
18,"HBA2"
19,"TXN"
20,"IFI27"
21,"CXCL8"
22,"IGLC3"
23,"CCL8"
24,"LYZ"
25,"CXCL3"
26,"NKG7"
27,"C15orf48"
28,"HLA-DRA"
29,"ISG15"
30,"CCL3L1"
31,"MIR155HG"
32,"HBA1"
33,"IL1B"
34,"S100A8"
35,"FTH1"
36,"CD74"
37,"IDO1"
38,"HSPA1B"
39,"PF4"
40,"JCHAIN"
41,"SAT1"
42,"HSPA6"
43,"PTGDS"
44,"GNG11"
45,"FCGR3A"
46,"FGFBP2"
47,"HSPA1A"
48,"CLIC3"
49,"S100A9"
50,"GZMH"
51,"SERPINB2"
52,"FABP5"
53,"APOBEC3A"
54,"ID3"
55,"G0S2"
56,"GZMA"
57,"LGALS3"
58,"PRF1"
59,"HLA-DRB1"
60,"HSPB1"
61,"CD69"
62,"HLA-DPB1"
63,"CD79A"
64,"MYC"
65,"CTSL"
66,"FCER1G"
67,"GADD45B"
68,"SOD2"
69,"TYROBP"
70,"HLA-DQA1"
71,"TNFAIP6"
72,"DUSP2"
73,"HLA-DPA1"
74,"CCL22"
75,"KLRD1"
76,"CST7"
77,"S100A4"
78,"CD14"
79,"MS4A7"
80,"TRBC1"
81,"CST3"
82,"CTSC"
83,"LGALS1"
84,"IL1RN"
85,"DNAJB1"
86,"CAVIN2"
87,"CD83"
88,"DDIT4"
89,"GZMK"
90,"ID2"
91,"IFITM3"
92,"SDS"
93,"RGS1"
94,"CCR7"
95,"CD63"
96,"TSC22D1"
97,"RSAD2"
98,"TRGC2"
99,"RGS2"
100,"MS4A1"
101,"CTSW"
102,"CACYBP"
103,"HSPE1"
104,"HIST1H2AC"
105,"HSPH1"
106,"CALHM6"
107,"LTB"
108,"TIGIT"
109,"ANXA5"
110,"ALOX5AP"
111,"TNFSF10"
112,"S100A11"
113,"TYMP"
114,"XCL2"
115,"MARCKSL1"
116,"BIRC3"
117,"CTSB"
118,"CD8B"
119,"NFKBIA"
120,"CXCL2"
121,"ACTB"
122,"PABPC1"
123,"HLA-DRB5"
124,"PMAIP1"
125,"APOBEC3G"
126,"TRAC"
127,"IGHA1"
128,"RPL3"
129,"TCL1A"
130,"ITM2A"
131,"CSTB"
132,"TRBC2"
133,"IL32"
134,"CXCL1"
135,"TNFRSF4"
136,"PLAC8"
137,"S100A10"
138,"CD8A"
139,"SRSF2"
140,"IRF8"
141,"C1QB"
142,"RAMP1"
143,"ANXA1"
144,"HLA-DQB1"
145,"IFIT2"
146,"PLA2G7"
147,"ZFAND2A"
148,"RPL13"
149,"GPR183"
150,"CYP1B1"
151,"ITM2C"
152,"SELL"
153,"GIMAP7"
154,"RPL10"
155,"RPS18"
156,"DUSP4"
157,"CXCR3"
158,"HERPUD1"
159,"CD7"
160,"SRSF7"
161,"RGCC"
162,"TSPAN13"
163,"HSPD1"
164,"JUN"
165,"CREM"
166,"TNFRSF18"
167,"CD2"
168,"JUNB"
169,"RARRES3"
170,"HSPA5"
171,"ADA"
172,"IGHD"
173,"RPS6"
174,"HSP90AB1"
175,"TSC22D3"
176,"CXCR4"
177,"GPR171"
178,"ACRBP"
179,"TUBB1"
180,"IGSF6"
181,"PASK"
182,"TRAT1"
183,"CMTM8"
184,"RSRC2"
185,"NSMCE3"
186,"ANXA2"
187,"TUBA4A"
188,"CLK1"
189,"PLAUR"
190,"FCN1"
191,"RPS2"
192,"FOS"
193,"CHST12"
194,"IDI1"
195,"CD3D"
196,"LMNA"
197,"SNHG15"
198,"ADTRP"
199,"BTG1"
200,"STMN1"
201,"ZNF331"
202,"KLRC1"
203,"GCHFR"
204,"CXCL16"
205,"NCF1"
206,"SH2D2A"
207,"YPEL5"
208,"MAP3K7CL"
209,"NR4A2"
210,"TRDC"
211,"RPL21"
212,"INSIG1"
213,"C12orf75"
214,"XCL1"
215,"CMSS1"
216,"SNHG8"
217,"GLUL"
218,"HMOX1"
219,"CD52"
220,"SERPINB1"
221,"DNAJB6"
222,"PIK3IP1"
223,"NME1"
224,"AIF1"
225,"BEX3"
226,"CD247"
227,"ZFP36L2"
228,"APMAP"
229,"TVP23A"
230,"NOP58"
231,"FGL2"
232,"SPINK1"
233,"C1orf21"
234,"UBC"
235,"LEF1"
236,"RPS4X"
237,"IL7R"
238,"HSPA8"
239,"TNFSF13B"
240,"MAFB"
241,"PSAP"
242,"CTSD"
243,"CD3G"
244,"RHOH"
245,"HMGB2"
246,"RPL13A"
247,"PPIF"
248,"DUSP1"
249,"S100A6"
250,"PTMA"
251,"MS4A4A"
252,"FYN"
253,"KLF2"
254,"CLEC2B"
255,"MITD1"
256,"NCOA4"
257,"SOCS3"
258,"PRPF38B"
259,"TMEM243"
260,"OFD1"
261,"KYNU"
262,"C3AR1"
263,"UBB"
264,"HPSE"
265,"TXNIP"
266,"RPIA"
267,"LBH"
268,"TSHZ2"
269,"LDHB"
270,"HOPX"
271,"LCK"
272,"MRPL18"
273,"SESN3"
274,"PIM1"
275,"PIK3R1"
276,"FUCA1"
277,"OCIAD2"
278,"KLRB1"
279,"RORA"
280,"SPOCK2"
281,"CLEC4E"
282,"PNRC1"
283,"NINJ1"
284,"CEBPD"
285,"SYNE2"
286,"LAT"
287,"CA2"
288,"GATA3"
289,"CFP"
290,"LY9"
291,"PDCD4"
292,"CD96"
293,"DOK2"
294,"LST1"
295,"NR3C1"
296,"GNG2"
297,"CFD"
298,"TCP1"
299,"ACP5"
300,"BATF"
301,"SBDS"
302,"CLEC2D"
303,"EPB41L4A-AS1"
304,"GTF3A"
305,"NPC2"
306,"SRSF3"
307,"HNRNPDL"
308,"EMP3"
309,"PARP1"
310,"REL"
311,"TRAF3IP3"
312,"FAM118A"
313,"GRAP2"
314,"CCSER2"
315,"GBP1"
316,"GZMM"
317,"CD3E"
318,"LDHA"
319,"HSP90AA1"
320,"PLEK"
321,"DMAC1"
322,"EZR"
323,"NPM1"
324,"GIMAP1"
325,"BCL2A1"
326,"GIMAP4"
327,"RPL7"
328,"RPS14"
329,"CITED2"
330,"GYPC"
331,"DDX6"
332,"ARID5B"
333,"ARGLU1"
334,"SETD2"
335,"RAB27A"
336,"CD27"
337,"CCNL1"
338,"SOD1"
339,"EMB"
340,"TTC39C"
341,"CRBN"
342,"OASL"
343,"SLC2A3"
344,"RIPOR2"
345,"MAGED2"
346,"ARPC5L"
347,"VDAC3"
348,"RPS3"
349,"CD9"
350,"C6orf48"
351,"CYTOR"
352,"SATB1"
353,"GSTO1"
354,"WARS"
355,"SOCS1"
356,"VAMP5"
357,"SDCBP"
358,"SVIP"
359,"RPL32"
360,"PCF11"
361,"EVL"
362,"TAF1D"
363,"CHORDC1"
364,"SNHG7"
365,"RPS26"
366,"S1PR4"
367,"SNRPA1"
368,"RPL34"
369,"SRM"
370,"STK17A"
371,"RAB9A"
372,"PERP"
373,"RBM17"
374,"AES"
375,"C12orf57"
376,"LYAR"
377,"CD6"
378,"BCAS2"
379,"CHD1"
380,"SRSF8"
381,"SRSF1"
382,"WDR33"
383,"SYNGR2"
