"p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
0,1.21582100878614,0.702,0.388,0,"1","CREM"
0,1.63118027456225,0.453,0.153,0,"1","TRAT1"
0,1.31409920955073,0.955,0.798,0,"1","PABPC1"
0,0.714529944478358,0.96,0.856,0,"1","RPL14"
0,0.624351316450575,0.974,0.904,0,"1","RPL12"
0,0.716250424899764,0.996,0.94,0,"1","RPL3"
0,0.595413079848981,0.991,0.946,0,"1","RPL34"
0,0.654333751803391,0.997,0.96,0,"1","RPS4X"
0,0.566881444527242,0.996,0.961,0,"1","RPS3"
0,0.554193277956774,0.995,0.961,0,"1","RPL11"
0,0.530597842600057,0.997,0.969,0,"1","RPL32"
0,0.626827471389973,0.999,0.973,0,"1","RPS18"
0,0.568196464601648,0.999,0.977,0,"1","RPL13A"
0,0.549937938150793,0.998,0.98,0,"1","RPL13"
0,0.508488066504764,0.999,0.982,0,"1","RPL41"
0,0.609430786695486,1,0.983,0,"1","RPS2"
0,0.602840625099231,0.999,0.988,0,"1","RPL10"
0,0.494441102564855,1,0.998,0,"1","TMSB4X"
9.07959235999322e-309,0.584933450362611,0.979,0.915,1.27704466543305e-304,"1","RPL23A"
1.17898965740263e-306,0.508147999819099,0.998,0.972,1.65824895313679e-302,"1","RPS14"
8.11255385618294e-301,0.729070548947579,0.936,0.855,1.14103069987213e-296,"1","RPS16"
3.66716531032667e-298,0.599985469090949,0.972,0.882,5.15786800897446e-294,"1","RPS25"
2.15327037138252e-292,0.588021057549746,0.977,0.898,3.02857477734952e-288,"1","RPL27A"
9.54719686479434e-287,1.15918962180064,0.628,0.346,1.34281323903332e-282,"1","ZFP36L2"
3.30695951777566e-284,2.52571629546977,0.167,0.031,4.65123856175146e-280,"1","TNFRSF4"
1.00944439561921e-282,0.572940480813061,0.974,0.881,1.41978354243842e-278,"1","RPL31"
2.31586565336887e-281,1.29474557435526,0.491,0.222,3.25726504146331e-277,"1","ALOX5AP"
5.30130870665233e-281,0.497237362451806,0.993,0.97,7.45629069590651e-277,"1","EEF1A1"
2.4839444203708e-269,0.529918542769145,0.981,0.928,3.49366782725153e-265,"1","RPS15"
8.51811252302417e-267,0.529728144964086,0.979,0.901,1.19807252636335e-262,"1","RPS15A"
4.29685104959546e-262,0.526676451744723,0.976,0.922,6.04352100125602e-258,"1","RPS12"
4.89725217457263e-260,0.486650571936769,0.991,0.951,6.88798518353641e-256,"1","RPL19"
7.39782009840455e-257,0.484283255993825,0.99,0.955,1.0405033968406e-252,"1","RPS27A"
5.64243535056534e-252,0.906258443386073,0.682,0.376,7.93608532057015e-248,"1","TRAC"
4.75210690782424e-251,0.467250031762435,0.997,0.958,6.68383836585479e-247,"1","RPL7"
3.55913013558836e-250,0.458968341013437,0.999,0.974,5.00591653570503e-246,"1","RPS19"
6.81871622908154e-245,0.498809758182242,0.985,0.927,9.59052437620318e-241,"1","RPS27"
5.77328063979645e-230,1.90482750714923,0.231,0.068,8.12011921987371e-226,"1","GPR171"
1.10598475145168e-228,1.06230373593647,0.502,0.243,1.55556755291679e-224,"1","CD2"
3.76204301164615e-225,1.38844513127785,0.358,0.144,5.29131349588031e-221,"1","SPOCK2"
1.0821516846311e-223,0.468567615743034,0.98,0.929,1.52204634443364e-219,"1","RPL26"
7.00191640395424e-222,2.18252268799414,0.192,0.05,9.84819542216163e-218,"1","SESN3"
4.6284859641633e-220,0.428180761567053,0.994,0.959,6.50996550859568e-216,"1","RPL18A"
1.17204588320725e-214,0.630316929132395,0.898,0.749,1.648482534731e-210,"1","RPLP0"
1.57540670289525e-212,0.77555785752085,0.796,0.59,2.21580952762217e-208,"1","ARHGDIB"
2.03606588850696e-209,0.421515992327764,0.996,0.963,2.86372667218503e-205,"1","RPS6"
1.23809537494157e-208,1.49484551648289,0.331,0.136,1.74138114485532e-204,"1","RGS1"
1.5061843003317e-208,0.620993140220313,0.874,0.708,2.11844821841654e-204,"1","SARAF"
